day,start_minute,end_minute,label
0,480,600,Seg 08:00-10:00
0,600,720,Seg 10:00-12:00
0,840,960,Seg 14:00-16:00
0,960,1080,Seg 16:00-18:00
1,480,600,Ter 08:00-10:00
1,600,720,Ter 10:00-12:00
1,840,960,Ter 14:00-16:00
1,960,1080,Ter 16:00-18:00
2,480,600,Qua 08:00-10:00
2,600,720,Qua 10:00-12:00
2,840,960,Qua 14:00-16:00
2,960,1080,Qua 16:00-18:00
3,480,600,Qui 08:00-10:00
3,600,720,Qui 10:00-12:00
3,840,960,Qui 14:00-16:00
3,960,1080,Qui 16:00-18:00
4,480,600,Sex 08:00-10:00
4,600,720,Sex 10:00-12:00
4,840,960,Sex 14:00-16:00
4,960,1080,Sex 16:00-18:00

